title,type,titlereleased,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,4k,language
Casino Royale,TV,2006,TV-14,SuperHD,"Daniel Craig, Judi Dench, Eva Green, Jeffrey Wright",Martin Campbell,Action & Adventure,7.4,144,70044604,2019-02-01,"Daniel Craig makes his debut as the newly minted agent 007, who's pitted against an infamous financier of global terrorism -- at the poker table.",0,english
Free State of Jones,TV,2016,TV-14,SuperHD,"Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell",Gary Ross,"Action & Adventure
                  Dramas",6.6,139,80080158,2018-10-01,"In this fact-based drama, a rebellious farmer leads a group of Civil War deserters in a fight to establish a mixed-race free state in the deep South.",0,english
Iris,TV,2009,TV-MA,SuperHD,"Lee Byung-hun, Kim Tae-hee, Jeong Jun-ho, Kim Young-chul",0,"International TV Shows
                  Korean TV Shows
                  TV Action & Adventure",7.9,0,80081705,2018-05-01,Two friends' lives are changed forever when they are recruited by a top-secret organization tasked with protecting the country from foreign threats.,0,korean
Paul Blart: Mall Cop,TV,2009,TV-14,SuperHD,"Kevin James, Keir O'Donnell, Jayma Mays, Raini Rodriguez",Steve Carr,"Action & Adventure
                  Comedies",5.2,91,70109689,2019-07-01,An overzealous security guard finds himself in over his head when he tries to thwart a criminal mastermind's plot to rob an entire shopping mall.,0,english
Planet Hulk,TV,2010,TV-MA,SuperHD,"Rick D. Wasserman, Lisa Ann Beley, Mark Hildreth, Liam O'Brien",Sam Liu,"Action & Adventure
                  Sci-Fi & Fantasy",6.7,81,70129195,2018-11-01,"When Earth's superheroes exile the volatile Incredible Hulk to a distant planet called Sakaar, the muscle-bound green monster is sold into slavery.",0,english
Shattered Memories,TV,2018,TV-14,SuperHD,"Elizabeth Bogush, Brad Schmidt, Sarah Lind, Eddie Kaye Thomas",Chris Sivertson,"Dramas
                  Thrillers",4.2,85,81094665,2019-04-25,"When her former lover's mysteriously murdered, a woman must clear her name -- and avoid the killer.",0,english
The Late Bloomer,TV,2016,TV-PG,SuperHD,"Johnny Simmons, Maria Bello, Brittany Snow, Kumail Nanjiani",Kevin Pollak,Comedies,5.4,94,80098859,2018-11-06,"A sex therapist with pituitary issues finally gets to experience puberty in all its glory at age 30, when an operation unleashes his raging hormones.",0,english
We Have Always Lived in the Castle,TV,2018,TV-MA,SuperHD,"Taissa Farmiga, Alexandra Daddario, Crispin Glover, Sebastian Stan",Stacie Passon,"Dramas
                  Thrillers",5.4,95,81089941,2019-09-14,The fragile and secretive world of two sisters and their uncle crumbles when their charming cousin arrives with eyes toward the family fortune.,0,english
Weeds,TV,2005,TV-MA,SuperHD,"Mary-Louise Parker, Hunter Parrish, Alexander Gould, Kevin Nealon",0,"TV Comedies
                  TV Dramas",7.9,0,70136122,2013-03-14,A suburban mother starts selling marijuana to her affluent neighbors so she can maintain her comfortable lifestyle after her husband's sudden death.,0,english
The Da Vinci Code,Movie,2006.0,R,UltraHD,"Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno",Ron Howard,Thrillers,6.6,148,70035186,2019-05-01,"When the curator of the Louvre is killed, a Harvard professor and a cryptographer must untangle a web of deceit involving works of Leonardo da Vinci.",1,english
A Clockwork Orange,Movie,1971,PG,SuperHD,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke",Stanley Kubrick,"Classic Movies
                  Cult Movies
                  Dramas",8.2,136,383466,2019-03-01,"A young man spends his time stealing, raping and beating innocent people in nihilistic orgies of violence, all in an attempt to get his nightly kicks.",1,english
Cool Hand Luke,Movie,1967,R,SuperHD,"Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio",Stuart Rosenberg,"Classic Movies
                  Dramas",8.1,126,397323,2019-12-01,"Luke Jackson likes to do things his own way, which leads to a world of hurt when he ends up in a prison camp -- and on the wrong side of its warden.",1,english
Hook,Movie,1991,PG,SuperHD,"Dustin Hoffman, Robin Williams, Julia Roberts, Bob Hoskins",Steven Spielberg,Children & Family Movies,6.8,141,600346,2020-03-01,"Peter Pan, the boy who wasn't supposed to grow up, did just that. But vengeful Capt. Hook kidnaps Peter's kids, forcing him to return to Neverland.",1,english
Platoon,Movie,1986,G,SuperHD,"Tom Berenger, Willem Dafoe, Charlie Sheen, Forest Whitaker",Oliver Stone,"Action & Adventure
                  Classic Movies
                  Dramas",7.7,119,860591,2019-06-01,A naive American soldier's view of the Vietnam War starts to change after he witnesses murder and rape at the hands of his compatriots.,1,english
A Thin Line Between Love & Hate,Movie,1996,PG-13,SuperHD,"Martin Lawrence, Lynn Whitfield, Regina King, Bobby Brown",Martin Lawrence,"Comedies
                  Romantic Movies",5.7,108,1038844,2019-07-01,"Big-time player and club promoter Darnell does a double-take when a sophisticated beauty named Brandi catches his eye at the club. But as he tries to win her over, the prize is far from what he expected.",1,english
Bonnie and Clyde,Movie,1967,TV-PG,SuperHD,"Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman",Arthur Penn,"Action & Adventure
                  Classic Movies
                  Dramas",7.8,110,19054266,2019-12-01,"Serial bank robbers, sometime lovers and folkloric heroes Bonnie and Clyde barrel across Depression-ravaged America on a deadly shooting spree.",1,english
Angel Eyes,Movie,2001,G,SuperHD,"Jennifer Lopez, Jim Caviezel, Jeremy Sisto, Terrence Howard",Luis Mandoki,"Dramas
                  Romantic Movies",5.6,102,60020681,2018-10-01,"When a violent assault leaves her vulnerable, a streetwise Chicago cop receives help from a haunted loner who's struggling with traumas of his own.",1,english
The Indian in the Cupboard,Movie,1995,R,SuperHD,"Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins",Frank Oz,"Children & Family Movies
                  Dramas",6.0,96,60020754,2019-01-04,"A boy receives a wooden cupboard, antique keys and an Iroquois warrior figurine for his birthday. The figurine comes to life overnight in the cabinet.",1,english
Catch Me If You Can,Movie,2002,PG-13,SuperHD,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen",Steven Spielberg,Dramas,8.1,141,60024942,2020-01-01,"An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture, he revels in the pursuit.",1,english
Good Burger,Movie,1997,PG,SuperHD,"Kenan Thompson, Kel Mitchell, Abe Vigoda, Dan Schneider",Brian Robbins,"Children & Family Movies
                  Comedies",5.7,95,60028097,2019-10-01,"Working at a neighborhood fast-food joint, two teens try to save the restaurant when a giant burger franchise fires up the competition.",1,english
Gothika,Movie,2003,R,SuperHD,"Halle Berry, Robert Downey Jr., Charles S. Dutton, John Carroll Lynch",Mathieu Kassovitz,"Horror Movies
                  Thrillers",6.0,97,60031247,2019-11-01,"After a car crash, a criminal psychiatrist awakens to find that she's a patient in the same mental institution that currently employs her.",1,english
Enter the Dragon,Movie,1973,R,SuperHD,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri",Robert Clouse,"Action & Adventure
                  Classic Movies",7.7,102,60036838,2019-11-01,"Recruited by a British agent, Shaolin master Lee infiltrates a remote island and a brutal martial arts tournament to spy on a sinister crime lord.",1,english
GoodFellas,Movie,1990,R,SuperHD,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco",Martin Scorsese,"Classic Movies
                  Dramas",8.7,145,70002022,2020-03-01,Former mobster Henry Hill recounts his colorful yet violent rise and fall in a New York crime family -- a high-rolling dream turned paranoid nightmare.,1,english
Are We There Yet?,Movie,2005,PG-13,SuperHD,"Ice Cube, Nia Long, Aleisha Allen, Philip Bolden",Brian Levant,"Children & Family Movies
                  Comedies",5.3,94,70018726,2019-01-01,"To impress a foxy divorcee, ladies' man Nick offers to take her kids on an extended road trip, unaware of the torture he's in for.",1,english
Doom,Movie,2005,R,SuperHD,"Karl Urban, Rosamund Pike, Dwayne Johnson, Deobia Oparei",Andrzej Bartkowiak,"Action & Adventure
                  Horror Movies
                  Sci-Fi & Fantasy",5.0,104,70028897,2018-09-01,A special ops squad investigating a distress signal from a distant planet discovers that mutant aliens have already wiped out most of the population.,1,english
Monster House,Movie,2006,PG,SuperHD,"Mitchel Musso, Sam Lerner, Spencer Locke, Steve Buscemi",Gil Kenan,"Children & Family Movies
                  Comedies",6.6,90,70044595,2019-11-01,Three friends uncover the truth about a scary abandoned house in their neighborhood that has a personality of its own and seems to be eating people.,1,english
The Departed,Movie,2006,R,SuperHD,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",Martin Scorsese,"Dramas
                  Thrillers",8.5,151,70044689,2019-01-12,Two rookie Boston cops are sent deep undercover -- one inside the gang of a charismatic Irish mob boss and the other double-crossing his own department.,1,english
